outer_loop_array_packed,middle_loop_array_packed,inner_loop_array_packed,outer_loop_tiling_factor,middle_loop_tiling_factor,inner_loop_tiling_factor,objective
True,True,True,16,32,80,0.0005535
True,True,True,16,32,100,0.000583
True,True,True,16,32,128,0.0004635
True,True,True,16,32,256,0.0022045
True,True,True,16,50,4,0.0020489999999999
True,True,True,16,50,8,0.0011784999999999
True,True,True,16,50,16,0.000803
True,True,True,16,50,20,0.000883
True,True,True,16,50,32,0.0006125
True,True,True,16,50,50,0.000703
True,True,True,16,50,64,0.0006095
True,True,True,16,50,80,0.00054
True,True,True,16,50,100,0.0005835
True,True,True,16,50,128,0.0005325
True,True,True,16,50,256,0.0011034999999999
True,True,True,16,64,4,0.001903
True,True,True,16,64,8,0.0011595
True,True,True,16,64,16,0.000869
True,True,True,16,64,20,0.0008435
True,True,True,16,64,32,0.000602
True,True,True,16,64,50,0.000601
True,True,True,16,64,64,0.0006075
True,True,True,16,64,80,0.000593
True,True,True,16,64,100,0.00054
True,True,True,16,64,128,0.0005484999999999
True,True,True,16,64,256,0.0034595
True,True,True,16,80,4,0.0020505
True,True,True,16,80,8,0.001171
True,True,True,16,80,16,0.0007975
True,True,True,16,80,20,0.000801
True,True,True,16,80,32,0.0006755
True,True,True,16,80,50,0.000719
True,True,True,16,80,64,0.000567
True,True,True,16,80,80,0.0005865
True,True,True,16,80,100,0.0005325
True,True,True,16,80,128,0.0004555
True,True,True,16,80,256,0.001495
True,True,True,16,100,4,0.0020524999999999
True,True,True,16,100,8,0.001147
True,True,True,16,100,16,0.000792
True,True,True,16,100,20,0.000794
True,True,True,16,100,32,0.0007295
True,True,True,16,100,50,0.0006515
True,True,True,16,100,64,0.000616
True,True,True,16,100,80,0.0004665
True,True,True,16,100,100,0.000655
True,True,True,16,100,128,0.000522
True,True,True,16,100,256,0.0012009999999999
True,True,True,16,128,4,0.0020925
True,True,True,16,128,8,0.0012014999999999
True,True,True,16,128,16,0.000868
True,True,True,16,128,20,0.0008715
True,True,True,16,128,32,0.0005775
True,True,True,16,128,50,0.000769
True,True,True,16,128,64,0.0006245
True,True,True,16,128,80,0.000572
True,True,True,16,128,100,0.0005895
True,True,True,16,128,128,0.000494
True,True,True,16,128,256,0.003685
True,True,True,16,2048,4,0.0019845
True,True,True,16,2048,8,0.0011535
True,True,True,16,2048,16,0.0008485
True,True,True,16,2048,20,0.000873
True,True,True,16,2048,32,0.000675
True,True,True,16,2048,50,0.0007485
True,True,True,16,2048,64,0.0006069999999999
True,True,True,16,2048,80,0.0005165
True,True,True,16,2048,100,0.000579
True,True,True,16,2048,128,0.0006429999999999
True,True,True,16,2048,256,0.0013874999999999
True,True,True,20,4,4,0.0017705
True,True,True,20,4,8,0.0010249999999999
True,True,True,20,4,16,0.0009235
True,True,True,20,4,20,0.00079
True,True,True,20,4,32,0.000644
True,True,True,20,4,50,0.00067
True,True,True,20,4,64,0.0006485
True,True,True,20,4,80,0.000562
True,True,True,20,4,100,0.000522
True,True,True,20,4,128,0.000645
True,True,True,20,4,256,0.0012079999999999
True,True,True,20,8,4,0.001727
True,True,True,20,8,8,0.001
True,True,True,20,8,16,0.001006
True,True,True,20,8,20,0.000778
True,True,True,20,8,32,0.000618
True,True,True,20,8,50,0.000659
True,True,True,20,8,64,0.00074
True,True,True,20,8,80,0.000511
True,True,True,20,8,100,0.000526
True,True,True,20,8,128,0.000621
True,True,True,20,8,256,0.00119
True,True,True,20,16,4,0.0017065
True,True,True,20,16,8,0.0010225
True,True,True,20,16,16,0.000943
True,True,True,20,16,20,0.000803
True,True,True,20,16,32,0.0005895
True,True,True,20,16,50,0.000711
True,True,True,20,16,64,0.0006495
True,True,True,20,16,80,0.0005055
True,True,True,20,16,100,0.000497
True,True,True,20,16,128,0.0005679999999999
True,True,True,20,16,256,0.0014425
True,True,True,20,20,4,0.0016195
True,True,True,20,20,8,0.0010655
True,True,True,20,20,16,0.000905
True,True,True,20,20,20,0.0007895
True,True,True,20,20,32,0.0005555
True,True,True,20,20,50,0.0005805
True,True,True,20,20,64,0.0006345
True,True,True,20,20,80,0.0004435
True,True,True,20,20,100,0.0005124999999999
True,True,True,20,20,128,0.0005895
True,True,True,20,20,256,0.001234
True,True,True,20,32,4,0.001704
True,True,True,20,32,8,0.0010365
True,True,True,20,32,16,0.0009785
True,True,True,20,32,20,0.0008185
True,True,True,20,32,32,0.0006299999999999
True,True,True,20,32,50,0.0006095
True,True,True,20,32,64,0.00059
True,True,True,20,32,80,0.0005645
True,True,True,20,32,100,0.0005575
True,True,True,20,32,128,0.0005985
True,True,True,20,32,256,0.0019399999999999
True,True,True,20,50,4,0.001696
True,True,True,20,50,8,0.0010295
True,True,True,20,50,16,0.000897
True,True,True,20,50,20,0.0007035
True,True,True,20,50,32,0.000606
True,True,True,20,50,50,0.000614
True,True,True,20,50,64,0.0006575
True,True,True,20,50,80,0.000493
True,True,True,20,50,100,0.0004625
True,True,True,20,50,128,0.0005575
True,True,True,20,50,256,0.0011795
True,True,True,20,64,4,0.0017295
True,True,True,20,64,8,0.0010615
True,True,True,20,64,16,0.000883
True,True,True,20,64,20,0.000754
True,True,True,20,64,32,0.0006275
True,True,True,20,64,50,0.0005725
True,True,True,20,64,64,0.0006495
True,True,True,20,64,80,0.0005665
True,True,True,20,64,100,0.0006095
True,True,True,20,64,128,0.000549
True,True,True,20,64,256,0.0034695
True,True,True,20,80,4,0.0017135
True,True,True,20,80,8,0.001105
True,True,True,20,80,16,0.000895
True,True,True,20,80,20,0.0007005
True,True,True,20,80,32,0.000556
True,True,True,20,80,50,0.0006985
True,True,True,20,80,64,0.000568
True,True,True,20,80,80,0.0005005
True,True,True,20,80,100,0.00055
True,True,True,20,80,128,0.0006225
True,True,True,20,80,256,0.00164
True,True,True,20,100,4,0.001778
True,True,True,20,100,8,0.0010585
True,True,True,20,100,16,0.0010145
True,True,True,20,100,20,0.0008405
True,True,True,20,100,32,0.000574
True,True,True,20,100,50,0.0006039999999999
True,True,True,20,100,64,0.0006615
True,True,True,20,100,80,0.000541
True,True,True,20,100,100,0.0004915
True,True,True,20,100,128,0.0006145
True,True,True,20,100,256,0.0012525
True,True,True,20,128,4,0.0018809999999999
True,True,True,20,128,8,0.0010739999999999
True,True,True,20,128,16,0.000936
True,True,True,20,128,20,0.0008205
True,True,True,20,128,32,0.0006154999999999
True,True,True,20,128,50,0.0006705
True,True,True,20,128,64,0.000631
True,True,True,20,128,80,0.0004895
True,True,True,20,128,100,0.0005974999999999
True,True,True,20,128,128,0.0006125
True,True,True,20,128,256,0.003687
True,True,True,20,2048,4,0.001748
True,True,True,20,2048,8,0.0011259999999999
