outer_loop_array_packed,middle_loop_array_packed,inner_loop_array_packed,outer_loop_tiling_factor,middle_loop_tiling_factor,inner_loop_tiling_factor,objective
True,True,True,8,100,256,2.14476
True,True,True,8,128,4,11.2295535
True,True,True,8,128,8,6.931589
True,True,True,8,128,16,3.691338
True,True,True,8,128,20,3.059951
True,True,True,8,128,32,2.6720575
True,True,True,8,128,50,2.350428
True,True,True,8,128,64,2.301397
True,True,True,8,128,80,2.1498025000000003
True,True,True,8,128,100,1.9774515
True,True,True,8,128,128,2.08957
True,True,True,8,128,256,2.147803
True,True,True,8,2048,4,28.7700545
True,True,True,8,2048,8,15.181323999999998
True,True,True,8,2048,16,7.559846
True,True,True,8,2048,20,6.3144800000000005
True,True,True,8,2048,32,5.672507
True,True,True,8,2048,50,4.2335720000000014
True,True,True,8,2048,64,3.3664855000000005
True,True,True,8,2048,80,3.2778730000000005
True,True,True,8,2048,100,2.970448
True,True,True,8,2048,128,3.1337490000000003
True,True,True,8,2048,256,3.468218
True,True,True,16,4,4,16.883380000000002
True,True,True,16,4,8,13.3993255
True,True,True,16,4,16,5.2522660000000005
True,True,True,16,4,20,4.674413
True,True,True,16,4,32,3.494738
True,True,True,16,4,50,3.19182
True,True,True,16,4,64,2.793141
True,True,True,16,4,80,2.8277
True,True,True,16,4,100,2.6133665
True,True,True,16,4,128,2.515553
True,True,True,16,4,256,2.6956825
True,True,True,16,8,4,13.6647225
True,True,True,16,8,8,8.580761500000001
True,True,True,16,8,16,4.9290295
True,True,True,16,8,20,3.848193
True,True,True,16,8,32,3.1982615
True,True,True,16,8,50,2.6320225
True,True,True,16,8,64,2.5026945
True,True,True,16,8,80,2.3625395
True,True,True,16,8,100,2.1618525
True,True,True,16,8,128,2.264046
True,True,True,16,8,256,2.398209
True,True,True,16,16,4,13.676326
True,True,True,16,16,8,7.904697
True,True,True,16,16,16,3.4655595000000003
True,True,True,16,16,20,2.9807245
True,True,True,16,16,32,2.4686215
True,True,True,16,16,50,2.0872105000000003
True,True,True,16,16,64,2.3429865000000003
True,True,True,16,16,80,1.845226
True,True,True,16,16,100,1.8021535
True,True,True,16,16,128,1.935063
True,True,True,16,16,256,1.899156
True,True,True,16,20,4,11.1041975
True,True,True,16,20,8,6.641042
True,True,True,16,20,16,3.2422435000000003
True,True,True,16,20,20,3.0365990000000003
True,True,True,16,20,32,2.3704660000000004
True,True,True,16,20,50,2.2546775
True,True,True,16,20,64,2.068887
True,True,True,16,20,80,1.8194005
True,True,True,16,20,100,1.7746115000000002
True,True,True,16,20,128,1.834138
True,True,True,16,20,256,1.8964745
True,True,True,16,32,4,10.4095745
True,True,True,16,32,8,5.998139
True,True,True,16,32,16,3.2508855
True,True,True,16,32,20,2.756478
True,True,True,16,32,32,2.296681
True,True,True,16,32,50,2.027987
True,True,True,16,32,64,1.9038755
True,True,True,16,32,80,1.7644175
True,True,True,16,32,100,1.6544720000000002
True,True,True,16,32,128,1.639838
True,True,True,16,32,256,1.7185855
True,True,True,16,50,4,10.458259
True,True,True,16,50,8,5.7549755000000005
True,True,True,16,50,16,3.072462
True,True,True,16,50,20,2.884512
True,True,True,16,50,32,2.338317
True,True,True,16,50,50,2.021528
True,True,True,16,50,64,1.920964
True,True,True,16,50,80,1.7161970000000002
True,True,True,16,50,100,1.6684935
True,True,True,16,50,128,1.730428
True,True,True,16,50,256,1.8051665
True,True,True,16,64,4,9.906534
True,True,True,16,64,8,5.4992745
True,True,True,16,64,16,3.089128
True,True,True,16,64,20,2.6596675000000003
True,True,True,16,64,32,2.318382
True,True,True,16,64,50,1.9574135
True,True,True,16,64,64,1.8718625
True,True,True,16,64,80,1.7137145
True,True,True,16,64,100,1.608511
True,True,True,16,64,128,1.608305
True,True,True,16,64,256,1.6952235
True,True,True,16,80,4,10.017951
True,True,True,16,80,8,5.492088
True,True,True,16,80,16,2.9884215
True,True,True,16,80,20,2.846695
True,True,True,16,80,32,2.310077
